Tweets,Favorite,Retweets,Engagement,Sentiment,Tweet Length,Exclamations/Questions,Capital Letters,Passion
"""Once you go , you're betting your career on a loser."" ",0,2,2,0.0,55,0,4,4
"My neighbor saw me wearing  t-shirt this morning and said: ""eughh.... How can you wear that t-shirt? They're commie, marxist, rabble rousers..."" We had a bit of back and forth. As we were parting ways he ended the chat with ""merry Christmas!"" #neighbors",6,0,6,0.0,253,2,9,11
"This is so unbelievable, and shakes faith in the jury system just for starters.  ",0,0,0,-0.25,81,0,4,4
Systemic racism is killing black women in childbirth.  ,13,10,23,-0.16666666666666666,55,0,4,4
Class Unity by . Full respect to them! ,15,11,26,0.4375,39,1,6,7
"#IAmTheResistance 
I am a pro-choice mother of 3.
I am a rape survivor.  
I am an environmental activist that very much fears for our planet.
I #resist the @GOP & @realDonaldTrump because I stand against racism, sexism, xenophobia, classism and a police state.  ",26,5,31,0.26,266,0,17,17
"Case #1091 of the #AllLivesMatter + #WhiteLivesMatter + all cryptofascists UTTERLY SILENT + NOT CARING AT ALL when Big Gov't gun thugs murder White people.

I guarantee you that the people who support  care far more about justice for your people than you do. ",3,0,3,0.12,261,0,41,41
Talking about  and #blackhealthmatters and you already fantasizing on how to best your unborn defensless kids into submission.,0,0,0,1.0,126,0,4,4
?It is because of #NetNeutrality rules that the internet is the only communication channel left where Black voices can...be heard.? @OsopePatrisse of . Keep our movements strong. Come out Dec. 14 and demand the FCC protect Net Neutrality. ,51,42,93,0.053333333333333316,239,0,17,17
"America, here is another example of why a top down overhaul of our judicial system is required.
Attention :
It is not the color of your skin by which you are judged but by your deeds. #Kaepernick #BoycottNFL #BoycottESPN",4,5,9,0.17222222222222222,222,0,16,16
"lol... #WhitePeopleProblems

queue numerous vids of Alexa being thrown out windows (like their #Keurig boycott)

#Alexa #BLM  ",0,0,0,0.4,130,0,12,12
"""Let's say"" I'm a #racist  piece of shit who calls people ni**er until they beat me to a pulp.   @realprponline #MAGA ",0,0,0,-0.2,118,0,9,9
: Who Was Latandra Ellington? ,0,0,0,0.0,30,1,7,8
#MeToo #IamtheResistance Granddaughter of Immigrants Mother Daughter Sister Aunt- I Stand with #PrideLGBT#Immigrants #Disabled   #Dreamers #Womensrights #Indigenous  #Earth ,2,0,2,-0.2,173,0,26,26
"Where are all the whites on this, making this is aware. My thoughts and prayers go out to Daniel Shaver family, but now this whole ?#AllLivesMatter? can understand why we preach  when we do. This video is just disgusting ",4,1,5,-0.18333333333333332,221,0,11,11
"Thank you to @PostCity for this honour of naming me most inspiring woman of Bayview, where I grew up (reading the Bayview Post!). And thank you to @DesmondCole for the lovely article. Thanks for recognizing all the work we at  put in for the city ?? ",117,25,142,0.45625,250,1,14,15
"A clunky and somewhat misleading headline from @washingtonpost 

#Race 

#NotMyPresident 

 ",0,0,0,0.0,98,0,8,8
"Looks like the #AztecSchoolShooting perp is a white asshole

When media hides 12000 annual murders by black thugs from the Stack Money Goons & Trav Family & Very Crispy Gangstas,  has a narrative when black-on-black & black-on-white crime is concealed

#Trump2016",2,1,3,0.011111111111111118,267,0,17,17
"Say their name. Alton Sterling, 2016-07-05 .",0,0,0,0.0,44,0,6,6
You deserve all good things life has to offer. #TrapaDrive #SediLakaMusic  ,5,1,6,0.7,75,0,9,9
Thinking About Remaking Black Wall Street ,1,0,1,-0.16666666666666666,42,0,6,6
"?Lock Him Up!? ?It?s Mueller Time!? happening now in #Jxn #Mississippi.
 #UnityMS 
#MississippiCivilRightsMuseum #MS200 #LockHimUp ",46,20,66,0.0,133,2,23,25
"I honestly feel sick after watching this. This is precisely why #metoo and  exists, flaws and all. ",14,3,17,0.09523809523809523,99,0,2,2
"#IAmTheResistance I am a small business owner, a wife, a daughter,a granddaughter of immigrants, a parent to a child with special need. I resist the @GOP and @realDonaldTrump because I resist racism, misogyny, and oppression. #metoo  #EqualityForAll",10,6,16,0.053571428571428575,249,0,18,18
Again...black on white crime with little consequence #BlackLives do not matter to me if #WhiteLives don?t matter to them.  #liberals #diversity #Whiteguilt ,0,0,0,-0.09375,156,0,9,9
Joyner Lucas - I'm Not Racist | SquADD Reaction Video  via @YouTube WATCH THE VIDEO!! BE EDUCATED!! ,0,0,0,0.0,100,4,39,43
 THIS IS HOW THOSE LIKE @MonitoringGroup WHO ARE THE BEST WE HAVE FOR  FOR #TOTTENHAM,0,0,0,1.0,85,0,57,57
"This is what you would call, WHITE PRIVILEGE??
If the person was white. 

Is this called BLACK PRIVILEGE??

#BLM
#LIBERALS
#THUGLIFE

#Antifa ",1,0,1,-0.05555555555555555,151,0,67,67
How America's new generation of #civilrightsactivists is mobilizing in the age of #Trump  #getwoke #politics #Trumpism  #TheResistance ,0,0,0,0.13636363636363635,135,0,9,9
How America's new generation of #civilrightsactivists is mobilizing in the age of #Trump  #getwoke #politics #Trumpism  #TheResistance ,5,5,10,0.13636363636363635,135,0,9,9
"Seriously why isn't there more outrage over this case. #BLM if you want to highlight examples of police abuse this is a good case to get outraged about, or do you only care when the victim is black? I'm calling you out  ",0,0,0,-0.039285714285714285,220,1,8,9
"[AWARDS] I'm very excited to have been asked to judge and to present tonight's Media, Arts & Entertainment category at @apnireland's Excellence Awards, at @lilliesdublin!

Celebrating #blackexcellence in Ireland.  ",1,1,2,0.24375,216,1,17,18
Wakey Wakey you've been duped by the #blackcaucus  ,0,0,0,0.0,51,0,4,4
Teressa Raiford is a well-known  activist and now she's running for mayor of Portland ,50,27,77,0.0,86,0,6,6
White People Are Upset That #Amazon?sAlexa Believes  -  via @TheRoot ..........     ,0,0,0,0.0,84,0,13,13
"The #SocialMedia year in review: The most-tweeted activism hashtags in the US in 2017
#Resist
#MAGA
#ImpeachTrump
#TrumpTrain
#WomensMarch
#NotMyPresident

#NoDAPL
#TakeAKnee
#BoycottNFL ",1,4,5,0.0,197,0,35,35
"Did you see all the RIOTS & BURNED DOWN NEIGHBORHOODS? 

Neither did I. Shows you who the ANIMALS/SAVAGES really are! 

#BLM
#liberals
 
#TheRealThugs ",0,0,0,0.047222222222222214,158,2,55,57
Systemic anti-white racism  ?? ,0,0,0,0.0,31,0,1,1
"Jackson is 80% black w/ 6th highest murder rate in US. Only 6% of kids are proficient at reading, and mayor is anti-choice and anti-charter school.

 don't matter here.
#MississippiCivilRightsMuseum ",2,0,2,-0.08333333333333333,202,0,11,11
"Hmmm... Why are there no Blacks  Hispanics on ##MuellerInvestigation ?Only Old white dudes who routinely, if they don't kill minorities, put them in jail. #superpredators",0,0,0,0.0,170,1,11,12
"Murderous duo. Disgusting.

 
#DemilitarizePolice ",0,0,0,-1.0,53,0,4,4
"When your job involves life-and-death decision making, the standards for conduct simply must be higher than this. The structures that insulate police from accountability must be torn down. #DanielShaver  #unarmed #deescalation #gunviolence ",3,1,4,0.03148148148148147,240,0,4,4
"#BaltimoreRising does a great job of explaining the Uprising from many angles, and is a great example of how community organizing evolves from oppressed groups of people. ??",1,0,1,0.7000000000000001,173,0,6,6
#History won't silence #HERstory   #Decency  #DemocracyIsAVerb #Democracy #SaveOurDemocracy #WeThePeople #AMorePerfectUnion = #WomensRights #LGBTQ #LoveIsLove  #HumanRights #VotingRights  #ClimateJustice #Science #NOH8  #MotherEarth #STEM ,0,0,0,0.0,239,0,49,49
#History won't silence #HERstory   #Decency  #DemocracyIsAVerb #Democracy #SaveOurDemocracy #WeThePeople #AMorePerfectUnion = #WomensRights #LGBTQ #LoveIsLove  #HumanRights #VotingRights  #ClimateJustice #Science #NOH8  #MotherEarth #STEM ,0,0,0,0.0,239,0,49,49
The latest The Independent!  ,0,0,0,0.25,29,1,3,4
#History won't silence #HERstory   #Decency  #DemocracyIsAVerb #Democracy #SaveOurDemocracy #WeThePeople #AMorePerfectUnion = #WomensRights #LGBTQ #LoveIsLove  #HumanRights #VotingRights  #ClimateJustice #Science #NOH8  #MotherEarth #STEM ,0,0,0,0.0,239,0,49,49
"Don't fall for Trump's visit to Jackson and his championing of civil rights, he just wants you on side for his own benefit ",2,0,2,0.4,123,0,6,6
#History won't silence #HERstory   #Decency #DemocracyIsAVerb #Democracy #SaveOurDemocracy #WeThePeople #AMorePerfectUnion = #WomensRights #LGBTQ #LoveIsLove  #HumanRights #VotingRights  #ClimateJustice #ClimateScience  #STEM #MotherEarth,1,0,1,0.0,238,0,47,47
#History won't silence #HERstory   #Decency #DemocracyIsAVerb #Democracy #SaveOurDemocracy #WeThePeople #AMorePerfectUnion = #WomensRights #GirlsEmpowered #HumanRights #VotingRights  #ClimateJustice #ClimateScience #STEM #MotherEarth #NOH8,0,0,0,0.0,239,0,44,44
"when he stands up for others, has good grammar, respects women, doesn?t give in to the heteronormative ways of the world, supports , like thrillers & superhero cartoons, & likes sensitive boys & aims to understand their emotionality. ? ",4,3,7,0.4,236,0,0,0
"Hey  will you please beat up pajama boy lol

His outfit is just insulting to all lives ",0,0,0,-0.09999999999999998,89,0,5,5
"Right or left, black  white, this is wrong. This cop is a PIG
This cop deserves to die.

I don't believe in the  movement. I don't believe this was racially motivated.
This is a case of a psycho cop that should be killed.
#BlueLivesMatter

",0,0,0,-0.0968253968253968,247,0,12,12
"A white guy was murdered by police and we hear about it from  

Pointing it out for the #alllivesmatter trolls, not you. ?? ",1,1,2,0.0,126,0,2,2
"Trump's controversial remarks on race @cnn #Resist #ImpeachTrump  #RoyMoore  

",0,0,0,0.55,81,0,9,9
Just saw the unreleased Mr Bean sketch where he attends a  protest,0,0,0,0.0,66,0,6,6
Still wondering why we say ? This. This is why. ,0,1,1,0.0,48,1,6,7
This is unacceptable @NBCNews #naacp  #DougJonesForSenate #dougjones this headline is disgusting ?Jones needs black voters to beat Moore in Alabama: They are not there yet? #blm  why not just VOTERS wow #usa #alabama this is offensive & wrong ,2,4,6,-0.39166666666666666,243,0,19,19
Inside . How America's new generation of civil rights activists is mobilizing in the age of Trump ,1,0,1,0.13636363636363635,98,0,7,7
"A RACIST, BIGOT like #DonaldTrump shouldn't be anywhere near anything involving CIVIL RIGHTS let alone the opening of a Civil Rights Museum. I don't recall ANY of the #GOP attend The 50th Anniversary of Selma except GW Bush & wife Laura.
 
",0,0,0,0.1,242,0,45,45
What a #Racist. He's mad because #Alexa said that  ?? ,0,1,1,-0.625,54,0,7,7
"Twilight Zone 2016:
 legally protest police killings of unarmed citizens & @FoxNews calls them unpatriotic & terrorist.
Twilight Zone 2017:
@FoxNews denounce the FBI & have a love affair with Russia & Vladimir Putin.",0,0,0,0.35,219,0,17,17
"""Welcome to the all black party!""- @ahagazelle 

#book #comingsoon #scifi #fantasy #blackmagic  #writerslife #Christian ",0,0,0,0.19722222222222227,122,1,5,6
Beneath the Skin: Episode 2   ,2,2,4,0.0,30,0,6,6
"""Being white is not a race or a culture""
Then why do you blame 'whiteness' for everything?

#ItsOkayToBeWhite is the same argument that  made about their name: ""this doesn't mean we hate the other races"". Which is the same argument Feminists made about men. ",1,0,1,-0.20625,261,1,12,13
Natural selection will favor mixed people.#MixedExcellence #MixedReality   #AllLivesMatter,0,0,0,0.05,90,0,11,11
"Doug Jones defends his record against #RoyMoore's lies.  He supports #2A and he's AGAINST late-term #abortion.

ELECTION IS DECEMBER 12

Vote for the candidate who tells the truth:  Vote #DougJonesForSenate 

#SaturdayMorning #ALSen #FBR #UniteBlue  ",6,3,9,0.0,256,0,50,50
"Modern American police descend directly from slave patrols. It shows.
#policestate #dogs 
",0,0,0,0.10000000000000002,92,0,6,6
It is #Racist and pure #Bigotry that  should have to read and interpret graphs displaying it is their AA counterparts who disproportionately commit more violent crimes on US citizens.,0,0,0,-0.02857142857142858,183,0,10,10
"#ThingsITrustMoreThanFoxNews If I'm a #brainwashed #AltLeft #TheResistance #antifa #feminist  #democrat:

#Liberal #MSM #FakeNews #propaganda. Which is why #libtards are the minority & THIS has happened to the #DemocraticParty???#TheMoreYouKnow? ",0,1,1,-0.1,248,0,33,33
I never knew that @amazonecho was WOKE. #alexa  ,2,0,2,0.0,48,0,5,5
 #AIRITOUTRADIO #rap you don't need street cred when you got money ,0,0,0,0.0,67,0,13,13
"In 2017, in the United States, unarmed Black people are murdered, point-blank, on their knees while inmates not even convicted of a crime are shocked to death. WE NEED JUSTICE. #DanielShaver  ",2,0,2,-0.4333333333333333,192,0,22,22
Damn right  out here for Daniel Shaver. The media not gonna show that tho.,1,4,5,0.2857142857142857,74,0,7,7
#NAACP You guys are the Rasist Bastards treating the President of the UNITED STATES like he dog shit on your shoe FK YOU and the #Assclown  Another bunch of Rasist Bastards,0,0,0,-0.2,172,0,31,31
"Thank you @Beyonce our beautiful black queen. This art is so important to the movement. #BlackGirlMagic #BlackGirlsRock  #EverybodyBlack #ForTheCulture
#NowPlaying the video ""LEMONADE"" in @tidal ",0,0,0,0.3611111111111112,196,0,27,27
"It feels like I have been saying this for quite a long time, but I strongly believe in #CampaignZero. ?

 

",0,1,1,0.19166666666666665,112,0,8,8
DONALD TRUMP SPEAKS AT THE MISSISSIPPI CIVIL RIGHTS MUSEUM OPENING: Why was this site not surrounded by black people 2 bar him from entering the premises?  #Antifa #HBCU #NAACP #MLK #BlackTwitter ,2,0,2,-0.16666666666666666,196,1,73,74
"Let?s make black boys whole in 2018 ! 

#BlackBoys2Men 

Fostering community, emotional and mental and healthy support systems. 

#BlackBoyJoy #BlackBoyMagic ",1,0,1,0.09666666666666666,164,1,14,15
Black Lives Matter. Just not the little unborn baby black lives that are aborted every day. #BLM  #hotep,0,0,0,-0.17361111111111108,104,0,10,10
 founder Alicia Garza to speak at Skidmore ,0,0,0,0.0,43,0,6,6
Notice how  activists are the ones shouting the loudest about Daniel Shaver. It?s about police accountability ,2,1,3,0.0,110,0,4,4
"Because I can't divert resources to all of these causes but want to at least take a clear stand:

I support

 
#TakeAKnee 
#NoDAPL 
#metoo
#noABA
#DisabilityRights
#UniversalIncome 
#AnimalRights 
#TaxTheRich

And probably many more I might add if I remember.",6,2,8,0.2,273,0,29,29
" organizing principles: 1. Lead with love 2. Low ego, high impact 3. Move at the speed of trust. Via @angelinaburnett at #wowconference #joinocmovement",1,1,2,0.22,151,0,4,4
"since no one has been talking about this lately, let me just remind you: 

 !",5,1,6,-0.375,79,1,16,17
WE ARE NOT FOR SALE! It?s our duty to fight for our freedom and it?s our duty to win! ???? #libya #libyaslavetrade  globally #antislaverymarch #london ,13,9,22,1.0,151,2,16,18
"I got a copy of the @realDonaldTrump dossier.
OMG!

#ChristiansForTrump  @WomenforTrump #resist #Indivisible #ImpeachTrump #Antifa 
@hottiefortrump #MAGA

",0,0,0,0.0,161,1,19,20
Why was Philip Brailsford let off scott free? Daniel Shaver was in tears. Was there anything else they could do? I'm going to look into the case but I'm not convinced he deserved to die. .,2,0,2,0.4,188,2,11,13
Instead of childish #butthurt hashtags>#ThingsITrustMoreThanFoxNews perhaps #TheResistance #AltLeft #antifa #feminist  #democrat #snowflakes should figure if they'd LISTEN to #FoxNews instead of #libtard #propaganda they'd have been PREPARED on election night? ,1,3,4,-0.15000000000000002,261,0,31,31
another platinum track!  #followforfollow #likeforlike #newmusic #edm #drake ,0,0,0,0.0,77,1,0,1
All lives matter when  #DaairraHayden,0,0,0,0.0,37,0,3,3
"TOO MANY PEOPLE STAND BACK, INSTEAD OF UP. 
The people of #Jxn #Mississippi resist @POTUS?s presence at the new Civil Rights Museum. 
 #UnityMS #NotInMyMississippi #MS200 ",15,11,26,0.21212121212121213,173,0,56,56
Black Lives Matter ,0,0,0,-0.16666666666666666,19,0,6,6
I?ve noticed the #AllLivesMatter crowd seems to be sitting out another police shooting. I?m beginning to wonder if it was nothing more than an attempt to drown out .,28,14,42,0.5,165,0,8,8
"#SaturdayMorning 

@CNN has Paris Dennard on defending man who wants SLAVERY back!!!

Don't stain Medgar Evers' name.

Trump shouldn't have even been allowed in Civil Rights Museum after support for Roy Moore.



#TrumpPenceMustGo
",0,0,0,0.1,242,3,30,33
"Just like the Big Lie of ""Hands Up Don't Shoot"" with Michael Brown in Ferguson

#BlackTwitter  #1A  ",0,0,0,0.0,102,0,16,16
"116th St. #streetmural #streetart #streetsofnewyork
.
.
.
 
.
#kaepernick ? ",1,0,1,0.0,82,0,1,1
"WHO'S READY TO #BREAKTHECHAIN ""AND"" BUILD/CREATE #ABETTERFUTURE #ABETTERWAY? #CivilRightsMuseum #CivilRights #AfricanAmericans #ItsTime  #StandUp4HumanRights #ItsTimeToThrive #TheDecade ",0,0,0,0.2,186,1,83,84
we must magnify  until it is fully understood- study up and #expectus? ,0,0,0,0.0,71,0,0,0
"Beneath the Skin: Episode 2 - CNN
 ",0,0,0,0.0,36,0,9,9
Here we go. White ppl upset again. Why can't some of them just be at peace shiet. #shiet  @kpher ,0,0,0,0.0,97,0,6,6
 #metoo White privilege ,0,0,0,0.0,24,0,1,1
"I really just read a tweet about Daniel Shaver that was like ""hey , cops also kill white people unlawfully too! Stop complaining!"" as if they thought that was some sort of great stance and compliment to policing. ",2,0,2,0.3333333333333333,213,2,7,9
Trump speaking at the #CivilRightsMuseum #lowturnout and very little #applause praising the accomplishments of  #Mississipp  now he has to go and brush his teeth because he didn't believe a word he said #DumpTrump #moroninchief  #lawrence #trumprussia #cnn ,4,2,6,-0.24375,257,0,10,10
"This was fighting real Injustice
 and Colin Kaepernick are far from it ",0,0,0,0.15000000000000002,72,0,7,7
With all these wack ratchet so called reality shows... they choose to cancel @tvOneNews with @rolandsmartin!?! This says a whole lot to what direction they want to steer black folks.  #realnewsmatter ,0,0,0,0.016666666666666673,200,3,7,10
Get 'em @FWhitfield #CNN @CNN #Resist #Occupy ,0,0,0,0.0,46,0,14,14
Civil Rights Museum #IAmTheResistance  #AfricanAmericans #ItsTimeToThrive #ItsTimeToRise #Organize #Galvanize #Thrive #BLM #TheDecade ,0,0,0,0.0,134,0,28,28
"Now this tweet is some bullshit Joe. You don?t get it at all!
 ",0,0,0,0.0,64,1,6,7
Slavery Reemerges: What The Average Person Can Do!  #endslavery  ,0,0,0,-0.1875,65,1,11,12
"#Freedom is ultimately endangered when a people place too great an emphasis on rights and too little on responsibility 
Make ",0,0,0,0.2041666666666667,126,0,5,5
"VIDEO of a black man named OTE Head that was murdered in Chicago on Dec. 3, 2017 because he was exposing the fact that #KennekaJenkins was murdered by the Crowne Plaza hotel staff and the cover-up!!!   ",8,7,15,-0.3255208333333333,202,3,18,21
"#Intifa #Antifada #TheResistance #Antifa #Intifada #ISIS  #Occupy #QAnon

TERRORISM: The use of intentionally indiscriminate violence as a means to create terror, or fear, to achieve a political, religious or ideological aim... ",3,2,5,0.0,230,0,26,26
Trump speaking at the dedication for the #CivilRightsMuseum is like Hitler speaking at the dedication for a Holocaust Museum. So hypocritical and disgusting to listen to a guy who despises  and #TakeAKnee choke out words honoring civil rights leaders.,264,101,365,-1.0,251,0,14,14
Thank God it was short....@realDonaldTrump had to get on the golf course before it gets too dark I guess ,0,0,0,-0.15,105,0,8,8
"All ages out here in #Jxn #Mississippi to protest @POTUS?s presence at the new Civil Rights Museum. 
#UnityMS #NotInMyMississippi
#MS200  ",17,10,27,0.13636363636363635,140,0,23,23
All artist proceeds 2 charity-pick your price! Thank you @KajalMag 4 the #DeepBlueShe #Mutiny2Unity music video ?. Project feat 100+ artist/activists--many you will know! #MeToo  #MeTooWhatNext #diversity #LGBTQ #WeNeedDiverseBooks  #StandingRock #womensrights ,2,1,3,0.0,261,2,30,32
"After #Charlottesville, how dare @realDonaldTrump speak at opening of #CivilRightsMuseum Bless all of you who led the way.  ",0,0,0,0.0,124,0,11,11
Looking forward to all of your new anti-racist policies in the name of #MedgarEvers.  ,4,0,4,0.13636363636363635,86,0,6,6
"We are not for sale 
Shame on Libya 
#slaverymustend #shameonlibya ? ",4,3,7,0.0,71,0,3,3
We are trying to save you people but you don?t fucking get it. You never will. But I won?t let my people die needlessly because of your stupidity. Rip #DanielShaver ,1,0,1,-0.5666666666666668,165,0,10,10
"Live a Little !!! Now on Amazon Prime: 

A movie about a bar fight ending in an assault and the memory loss afterwards.

 #Affirmation #SupportIndieFilm #Trailers 
 ",3,2,5,-0.11492365056818182,170,3,14,17
"A 40yr hegemony of Negro Priest-Kings
We forget that Black Intellects championed pride
Make 
",0,1,1,-0.16666666666666666,96,0,11,11
#AfricanAmericans ARE WE READY TO WORK WITH @UN @AfricanUnion TO #BREAKTHECHAIN And #Develop OUR FUTURE??? #TheDecade #ItsTime #AfricanAmerican  #ItsOnUs #ItsTimeToThrive #TheDecade ,0,0,0,0.1,182,3,70,73
Not today Satan... #CivilRightsMuseum #NeverTrump  ,1,1,2,0.0,51,0,10,10
We are Kings and Queens?,0,0,0,0.0,24,0,6,6
"When American citizens automatically defer to power and refuse to listen to victims, we create an environment ripe for abuse and injustice. 

It happened with 
#pipeline 
#NativeAmericans 
#JimCrow

Now it's happening with #MeToo 
#RoyMoore ",9,7,16,0.0,249,0,15,15
With @potus AND #RNC Supporting This SOB Is There ANY Doubt That White Supremacists RUN THE AMERICAN GOVERNMENT? #UN #UNGA #AfricanAmericans  #StandUp4TheHumanRights #TheDecade ,0,0,0,0.08333333333333333,177,1,63,64
#SatMag @TheSun @guardiannews @DailyMirror @Daily_Express @thetimes @nytimes @Independent @TheCanarySays @TheVoiceNews @EBONYMag  @MoJGovUK @ProjectRaceUK @ITV_R @BBCWatchdog IF WE ARE #locked OFF. THIS WILL NOT BE FOR OUR FIGHT FOR JUSTICE. THIS IS TO STOP US ,0,0,0,0.0,261,0,99,99
"I stand against frauds of all kinds.
tRump is an obvious fraud who only cares about his own self interests. Far from MAGA trump & his cronies are tearing apart this nation!

I stand with #LGBTQ &  & #TakeAKnee 

 #IAmTheResistance",9,3,12,0.18125,235,1,22,23
In Hard Times © #SongsOfInnocence    #Democracy #WomensRights #LGBTQ   #Climate #Science #Peace ??????  #SaveNetNeutrality #StopTheGOPTaxScam #GOPTaxScam #DefendDemocracy #Democracy is not #Isms it's #Humanity ,0,0,0,-0.2916666666666667,210,0,40,40
"""The black community is my community - the LGBT community, too, and the female community. That is my community. That's me; it's who I am''.--Nate Parker
#Familygoals #MarketMelanin #SocialSaturdays  #Education  --> #blackexcellence #blackpower  #blackqueen ",2,2,4,-0.08333333333333333,258,0,16,16
The Long History of Black Officers Reforming Policing From Within:  #PoliceReform ,0,0,0,-0.10833333333333334,82,0,14,14
" happening now in #Jxn #Mississipi. 
#MississippiCivilRightsMuseum #UnityMS #NotInMyMississippi ",171,113,284,0.0,97,0,16,16
Some White People Are Upset That Amazon?s Alexa Believes Black Lives Matter  ,0,0,0,-0.08333333333333333,77,0,15,15
In Hard Times © SongsOfInnocence? SaturdaySongs    #Democracy #WomensRights #LGBTQ #SaveNetNeutrality #StopTheGOPTacScam   #Climate #Science #Peace ??????  so appreciated ! Truli??@Ikelaru ! #SaturdaySongs ,1,1,2,0.010416666666666656,206,2,36,38
#SatMag @TheSun @guardiannews @DailyMirror @Daily_Express @thetimes @nytimes @Independent @TheCanarySays @TheVoiceNews @EBONYMag  @MoJGovUK @ProjectRaceUK @ITV_R @BBCWatchdog YOU ALL SEEM TO SEE ME AS SOME SORT OF #reject THAT HAS NO WORTH TO HEAR MY #truth? ,2,0,2,-0.075,259,1,92,93
"?Black Lives Matter!?
Jackson #Mississippi residents stand together and raise their voices against @POTUS at the new Civil Rights Museum. 
 #UnityMS #NotInMyMississippi ",18,12,30,-0.03598484848484848,171,1,23,24
"#WhatIWantSantaToBringMe
More guns.
#acab #2a #2ndAmendment 
#fuckcops  ",5,2,7,0.5,75,0,12,12
"Clarke does NOT speak for my black community. Thank You Eboni for calling him out. #ImpeachTrump 
 
#StopPoliceBrutality 
#CivilRights ",1,3,4,-0.16666666666666666,138,0,17,17
Jones needs black voters to beat Moore in #Alabama. They aren't there yet.  ,0,0,0,-0.16666666666666666,76,0,7,7
"Until Black on Black crime results in cries of outrage
we do but turn truth merrily on its head. 
Make ",0,0,0,-0.16666666666666666,105,0,7,7
Good justice for #WalterScott  #jailkillercops ,0,0,0,0.7,47,0,6,6
"Diversity is about # of bodies. Inclusion is about culture. When you focus on diversity w/out inclusion, you?re putting a bandaid over the problem @deray @BoF #diversityandinclusion #costofdiscrimination #businessoffashion ",3,1,4,0.0,223,0,8,8
"How is that #WhitePrivilege,  bullshit working out for you?  Oh? I guess it happens to us, too... ",0,0,0,0.0,98,1,8,9
"How is that #WhitePrivilege,  bullshit working out for you?  Oh? I guess it happens to us, too... ",0,0,0,0.0,98,1,8,9
"Fight Anti-Blackness. Bcos at the root of every  and #africanlivesmatter protest we go to,this is what it always comes back to. Systematic, ingrained anti-blackness. #LibyaSlaveTrade #libya #protest #racism #useyourvoice #useyourpower #SpeakUp ",2,0,2,0.0,244,0,10,10
all lives don?t matter until  so this is incorrect ,0,0,0,0.0,51,0,3,3
The latest The Occupy News and Report!  #netneutrality ,5,3,8,0.625,55,1,5,6
Police Brutality has to stop in America! As citizens we must demand more from the people who are sworn to protect.#PoliceBrutality #StopPoliceBrutality #WhiteLivesMatter  #love #AllLivesMatter #PoliceTraining #DanielShaver #why @TYTNetwork ,0,1,1,0.5,240,1,26,27
"InterVarsity Answers Why  Was Included, but Pro-Life Group Was Not, at Urbana '15 ",0,0,0,0.0,82,0,15,15
Nothing short of murder #policemurder #policebrutality  ,2,1,3,0.0,56,0,4,4
"MT
""@SJusticeW:  is just a cover for people to say that #WhiteLivesDontMatter

Think about it.

Being black is not a race or a culture. 
All it is to be black is to part of racism and genocide.
#BlackLivesDontMatter"" 

#BoingFlip

",1,3,4,-0.16666666666666666,242,0,21,21
"cant believe we have to protest slavery in 2017, this is the fault of British Imperialism and it has to stop.  #NoMoreSlavery ",15,1,16,0.0,126,0,8,8
